age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,services,divorced,secondary,no,1016,yes,no,unknown,29,may,14,1,-1,0,unknown,no
36,services,married,tertiary,no,562,no,no,cellular,25,may,90,1,-1,0,unknown,no
59,retired,married,secondary,no,3414,no,no,telephone,30,jul,117,6,-1,0,unknown,no
45,unknown,married,unknown,no,360,no,no,unknown,11,jun,157,9,-1,0,unknown,no
65,retired,married,unknown,no,679,no,no,cellular,13,may,593,2,178,1,success,no
40,blue-collar,divorced,primary,no,737,yes,yes,unknown,12,may,102,1,-1,0,unknown,no
51,technician,married,secondary,no,19,no,yes,cellular,8,aug,160,4,-1,0,unknown,no
35,management,married,tertiary,no,2957,yes,yes,cellular,8,aug,733,3,-1,0,unknown,yes
33,services,married,secondary,yes,-319,yes,no,cellular,25,jul,142,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,2007,yes,no,cellular,12,aug,1226,3,-1,0,unknown,yes
32,technician,single,secondary,no,0,yes,yes,unknown,26,may,916,2,-1,0,unknown,no
59,admin.,single,secondary,no,848,no,no,unknown,5,jun,63,1,-1,0,unknown,no
31,technician,married,tertiary,no,6562,yes,no,cellular,19,aug,118,2,-1,0,unknown,no
49,management,married,tertiary,no,1304,yes,no,unknown,27,may,144,1,-1,0,unknown,no
48,blue-collar,single,primary,no,623,yes,no,cellular,2,feb,1425,2,-1,0,unknown,yes
26,management,single,tertiary,no,205,no,no,unknown,26,may,111,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,-15,yes,no,unknown,28,may,140,1,-1,0,unknown,no
35,blue-collar,married,primary,no,442,yes,no,unknown,26,may,129,3,-1,0,unknown,no
35,blue-collar,single,primary,no,3339,yes,no,unknown,6,jun,304,2,-1,0,unknown,no
34,management,single,tertiary,no,681,no,no,cellular,6,aug,637,2,-1,0,unknown,yes
32,management,single,tertiary,no,4262,yes,no,cellular,19,nov,361,1,-1,0,unknown,no
27,blue-collar,single,primary,no,3342,yes,no,cellular,30,apr,761,2,330,4,failure,no
30,services,single,secondary,no,190,no,no,cellular,21,nov,312,1,-1,0,unknown,no
40,blue-collar,married,primary,no,2129,yes,no,cellular,20,apr,1156,3,-1,0,unknown,no
44,housemaid,married,primary,no,41,no,no,cellular,22,aug,299,1,-1,0,unknown,no
30,technician,single,secondary,no,516,yes,no,cellular,6,may,66,2,-1,0,unknown,no
18,student,single,unknown,no,108,no,no,cellular,10,aug,167,1,-1,0,unknown,yes
46,management,married,tertiary,no,212,yes,no,cellular,29,aug,515,3,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,1089,yes,yes,unknown,13,may,195,5,-1,0,unknown,no
56,blue-collar,married,secondary,no,659,yes,no,cellular,2,feb,148,1,188,3,failure,no
39,management,married,tertiary,yes,-1586,yes,yes,cellular,16,jul,89,2,-1,0,unknown,no
30,technician,single,secondary,no,458,no,no,cellular,20,nov,51,7,-1,0,unknown,no
35,student,single,secondary,no,2960,yes,no,unknown,30,may,123,2,-1,0,unknown,no
39,technician,married,secondary,no,-735,yes,no,cellular,30,jan,144,5,248,2,failure,no
32,student,married,secondary,no,0,no,no,cellular,28,jan,558,1,-1,0,unknown,no
59,retired,divorced,primary,no,47,yes,no,telephone,18,may,110,3,374,1,failure,no
42,blue-collar,married,secondary,no,671,yes,no,unknown,20,jun,10,29,-1,0,unknown,no
53,admin.,divorced,secondary,no,-372,yes,no,unknown,26,may,104,1,-1,0,unknown,no
29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,yes
34,management,single,tertiary,no,90,yes,no,cellular,8,may,67,3,-1,0,unknown,no
31,technician,divorced,tertiary,no,75,no,no,cellular,22,aug,34,9,-1,0,unknown,no
59,retired,married,secondary,no,0,no,no,cellular,6,aug,142,2,-1,0,unknown,no
57,management,divorced,tertiary,no,236,no,no,cellular,18,nov,120,2,-1,0,unknown,no
56,management,married,tertiary,no,616,no,no,cellular,6,feb,156,1,-1,0,unknown,yes
56,entrepreneur,married,secondary,no,938,no,yes,unknown,3,jul,202,2,-1,0,unknown,no
39,unemployed,married,primary,no,7372,no,no,unknown,9,jun,76,1,-1,0,unknown,no
34,blue-collar,married,primary,no,1451,yes,no,cellular,9,apr,765,3,-1,0,unknown,no
29,services,single,secondary,no,197,yes,no,cellular,5,may,19,2,-1,0,unknown,no
42,admin.,married,secondary,no,105,no,no,unknown,11,jun,1159,4,-1,0,unknown,yes
60,blue-collar,married,primary,no,1670,no,no,cellular,4,aug,115,1,-1,0,unknown,no
34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,130,1,-1,0,unknown,yes
48,admin.,divorced,secondary,no,1180,no,no,cellular,27,jan,142,1,238,3,other,yes
48,blue-collar,married,secondary,no,387,yes,no,telephone,28,jul,76,18,-1,0,unknown,no
37,management,single,tertiary,no,4543,yes,no,cellular,8,may,137,1,340,5,failure,no
26,management,single,tertiary,no,33,no,no,cellular,23,jul,297,1,-1,0,unknown,no
37,services,married,secondary,no,-349,yes,no,unknown,27,may,319,5,-1,0,unknown,no
31,technician,married,secondary,no,477,no,no,cellular,30,apr,146,1,-1,0,unknown,no
39,technician,single,tertiary,no,0,no,no,cellular,27,aug,147,4,-1,0,unknown,no
41,management,divorced,secondary,no,276,yes,no,unknown,7,may,60,1,-1,0,unknown,no
60,retired,married,secondary,no,819,yes,no,unknown,19,may,110,2,-1,0,unknown,no
28,services,married,secondary,no,-112,yes,yes,cellular,17,apr,73,2,-1,0,unknown,no
28,admin.,married,secondary,no,6429,yes,yes,unknown,27,may,345,2,-1,0,unknown,no
36,technician,single,secondary,no,0,no,no,cellular,8,jul,121,1,-1,0,unknown,no
60,blue-collar,married,secondary,no,272,no,no,cellular,2,feb,421,1,-1,0,unknown,no
38,management,married,secondary,no,517,yes,no,unknown,6,may,288,2,-1,0,unknown,no
51,blue-collar,married,primary,no,63,yes,yes,cellular,31,jul,87,4,-1,0,unknown,no
44,services,married,secondary,no,972,yes,no,cellular,30,jul,294,3,-1,0,unknown,no
67,retired,divorced,secondary,no,704,no,no,cellular,8,feb,186,2,97,1,success,yes
26,student,single,tertiary,no,0,no,no,cellular,15,jun,41,2,-1,0,unknown,no
30,management,single,tertiary,no,5359,no,no,cellular,19,aug,145,1,84,2,success,yes
34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,-1,0,unknown,yes
31,technician,single,secondary,no,4105,no,no,cellular,30,apr,264,1,-1,0,unknown,no
56,blue-collar,divorced,secondary,no,1346,no,yes,cellular,28,jul,240,3,-1,0,unknown,no
57,entrepreneur,married,unknown,no,975,yes,yes,cellular,22,jul,236,4,-1,0,unknown,no
24,admin.,married,secondary,no,262,yes,no,unknown,4,jun,69,3,-1,0,unknown,no
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,yes
